action	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41
9	1.0	0.04	1.0	0.0216	0.04	0.0	0.06666666666666667	0.1	0.016666666666666666	0.0	0.025	0.0	0.3025	1.0	0.0	0.0033333333333333335	0.0017999999999999995	0.02	0.0	0.06666666666666667	0.0	0.0	0.0	0.0125	0.0	0.0	0.0	0.0	0.0033333333333333335	0.0017999999999999995	0.02	0.0	0.06666666666666667	0.0	0.0	0.0	0.0125	0.0	0.0	0.0	0.0	0.0033333333333333335
6	1.0	0.04	1.0	0.0198	0.02	0.02	0.06666666666666667	0.1	0.016666666666666666	0.0	0.0125	0.0	0.3025	1.0	0.0	0.03666666666666667	-0.0017999999999999995	-0.009999999999999998	0.02	0.06666666666666667	0.0	0.0	0.0	-0.0125	0.0	0.0	0.0	0.0	0.03666666666666667	-0.0017999999999999995	-0.009999999999999998	0.02	0.06666666666666667	0.0	0.0	0.0	-0.0125	0.0	0.0	0.0	0.0	0.03666666666666667
5	1.0	0.04	1.0	0.02	0.02	0.0	0.06666666666666667	0.1	0.016666666666666666	0.0	0.0125	0.0	0.3025	1.0	0.0	0.006666666666666667	-0.0016000000000000007	-0.009999999999999998	0.0	0.06666666666666667	0.0	0.0	0.0	-0.0125	0.0	0.0	0.0	0.0	0.006666666666666667	-0.0016000000000000007	-0.009999999999999998	0.0	0.06666666666666667	0.0	0.0	0.0	-0.0125	0.0	0.0	0.0	0.0	0.006666666666666667
9	1.0	0.04	1.0	0.0216	0.04	0.0	0.06666666666666667	0.1	0.016666666666666666	0.0	0.025	0.0	0.3025	1.0	0.0	0.0033333333333333335	0.0	0.010000000000000002	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033333333333333335	0.0	0.010000000000000002	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033333333333333335
12	1.0	0.06	1.0	0.022	0.04	0.02	0.06666666666666667	0.1	0.03333333333333333	0.0	0.025	0.0	0.3025	1.0	0.0	0.006666666666666667	3.999999999999976E-4	0.010000000000000002	0.02	0.06666666666666667	0.0	0.016666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.006666666666666667	3.999999999999976E-4	0.010000000000000002	0.02	0.06666666666666667	0.0	0.016666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.006666666666666667
9	1.0	0.06	1.0	0.02204	0.04	0.01	0.06666666666666667	0.1	0.03333333333333333	0.0	0.025	0.0	0.3025	1.0	0.0	0.0033333333333333335	4.399999999999994E-4	0.010000000000000002	0.01	0.06666666666666667	0.0	0.016666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0033333333333333335	4.399999999999994E-4	0.010000000000000002	0.01	0.06666666666666667	0.0	0.016666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0033333333333333335
20	1.0	0.06	1.0	0.0256	0.04	0.0	0.1	0.1	0.016666666666666666	0.0	0.025	0.0	0.3025	1.0	0.0	0.013333333333333334	0.0035600000000000007	0.010000000000000002	0.0	0.1	0.0	-0.016666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.013333333333333334	0.0035600000000000007	0.010000000000000002	0.0	0.1	0.0	-0.016666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.013333333333333334
10	1.0	0.08	1.0	0.02204	0.04	0.05	0.06666666666666667	0.1	0.03333333333333333	0.0	0.025	0.0	0.3025	1.0	0.0	0.06333333333333334	-0.0035600000000000007	0.010000000000000002	0.05	0.06666666666666667	0.0	0.016666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.06333333333333334	-0.0035600000000000007	0.010000000000000002	0.05	0.06666666666666667	0.0	0.016666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.06333333333333334
20	1.0	0.08	1.0	0.02604	0.04	0.0	0.1	0.1	0.03333333333333333	0.0	0.025	0.0	0.3025	1.0	0.0	0.02666666666666667	4.399999999999994E-4	0.010000000000000002	0.0	0.1	0.0	0.016666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.02666666666666667	4.399999999999994E-4	0.010000000000000002	0.0	0.1	0.0	0.016666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.02666666666666667
9	1.0	0.08	1.0	0.02604	0.04	0.0	0.1	0.1	0.03333333333333333	0.0	0.025	0.0	0.3025	1.0	0.0	0.0033333333333333335	4.399999999999994E-4	0.010000000000000002	0.0	0.1	0.0	0.016666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0033333333333333335	4.399999999999994E-4	0.010000000000000002	0.0	0.1	0.0	0.016666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0033333333333333335
14	1.0	0.08	1.0	0.0256	0.04	0.04	0.1	0.1	0.016666666666666666	0.0	0.025	0.0	0.3025	1.0	0.0	0.04	-4.399999999999994E-4	0.010000000000000002	0.04	0.1	0.0	-0.016666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.04	-4.399999999999994E-4	0.010000000000000002	0.04	0.1	0.0	-0.016666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.04
9	1.0	0.08	1.0	0.0372	0.05	0.0	0.1	0.2	0.016666666666666666	0.0	0.0375	0.0	0.3025	1.0	0.0	0.0033333333333333335	0.011159999999999996	0.020000000000000004	0.0	0.1	0.1	-0.016666666666666666	0.0	0.012499999999999997	0.0	0.0	0.0	0.0	0.0033333333333333335	0.011159999999999996	0.020000000000000004	0.0	0.1	0.1	-0.016666666666666666	0.0	0.012499999999999997	0.0	0.0	0.0	0.0	0.0033333333333333335
7	1.0	0.1	1.0	0.02604	0.04	0.04	0.1	0.1	0.03333333333333333	0.0	0.025	0.0	0.3025	1.0	0.0	0.05333333333333334	-0.011159999999999996	0.0	0.04	0.1	-0.1	0.016666666666666666	0.0	-0.012499999999999997	0.0	0.0	0.0	0.0	0.05333333333333334	-0.011159999999999996	0.0	0.04	0.1	-0.1	0.016666666666666666	0.0	-0.012499999999999997	0.0	0.0	0.0	0.0	0.05333333333333334
9	1.0	0.1	1.0	0.02648	0.04	0.01	0.1	0.1	0.05	0.0	0.025	0.0	0.3025	1.0	0.0	0.0033333333333333335	-0.010719999999999997	0.0	0.01	0.1	-0.1	0.03333333333333334	0.0	-0.012499999999999997	0.0	0.0	0.0	0.0	0.0033333333333333335	-0.010719999999999997	0.0	0.01	0.1	-0.1	0.03333333333333334	0.0	-0.012499999999999997	0.0	0.0	0.0	0.0	0.0033333333333333335
20	1.0	0.1	1.0	0.0412	0.05	0.0	0.13333333333333333	0.2	0.016666666666666666	0.0	0.0375	0.0	0.3025	1.0	0.0	0.013333333333333334	0.01472	0.020000000000000004	0.0	0.13333333333333333	0.1	-0.03333333333333334	0.0	0.012499999999999997	0.0	0.0	0.0	0.0	0.013333333333333334	0.01472	0.020000000000000004	0.0	0.13333333333333333	0.1	-0.03333333333333334	0.0	0.012499999999999997	0.0	0.0	0.0	0.0	0.013333333333333334
10	1.0	0.12	1.0	0.02648	0.04	0.05	0.1	0.1	0.05	0.0	0.025	0.0	0.3025	1.0	0.0	0.07666666666666666	-0.01472	0.0	0.05	0.1	-0.1	0.03333333333333334	0.0	-0.012499999999999997	0.0	0.0	0.0	0.0	0.07666666666666666	-0.01472	0.0	0.05	0.1	-0.1	0.03333333333333334	0.0	-0.012499999999999997	0.0	0.0	0.0	0.0	0.07666666666666666
20	1.0	0.12	1.0	0.03048	0.04	0.0	0.13333333333333333	0.1	0.05	0.0	0.025	0.0	0.3025	1.0	0.0	0.016666666666666666	-0.01072	0.0	0.0	0.13333333333333333	-0.1	0.03333333333333334	0.0	-0.012499999999999997	0.0	0.0	0.0	0.0	0.016666666666666666	-0.01072	0.0	0.0	0.13333333333333333	-0.1	0.03333333333333334	0.0	-0.012499999999999997	0.0	0.0	0.0	0.0	0.016666666666666666
9	1.0	0.12	1.0	0.03048	0.04	0.0	0.13333333333333333	0.1	0.05	0.0	0.025	0.0	0.3025	1.0	0.0	0.0033333333333333335	-0.01072	0.0	0.0	0.13333333333333333	-0.1	0.03333333333333334	0.0	-0.012499999999999997	0.0	0.0	0.0	0.0	0.0033333333333333335	-0.01072	0.0	0.0	0.13333333333333333	-0.1	0.03333333333333334	0.0	-0.012499999999999997	0.0	0.0	0.0	0.0	0.0033333333333333335
10	1.0	0.12	1.0	0.0428	0.06	0.08	0.13333333333333333	0.2	0.016666666666666666	0.0	0.05	0.0	0.3025	1.0	0.0	0.09333333333333334	0.012319999999999998	0.03	0.08	0.13333333333333333	0.1	-0.03333333333333334	0.0	0.025	0.0	0.0	0.0	0.0	0.09333333333333334	0.012319999999999998	0.03	0.08	0.13333333333333333	0.1	-0.03333333333333334	0.0	0.025	0.0	0.0	0.0	0.0	0.09333333333333334
6	1.0	0.14	1.0	0.03048	0.04	0.04	0.13333333333333333	0.1	0.05	0.0	0.025	0.0	0.3025	1.0	0.0	0.06666666666666667	-0.020319999999999998	-0.010000000000000002	0.04	0.13333333333333333	-0.1	0.03333333333333334	0.0	-0.025	0.0	0.0	0.0	0.0	0.06666666666666667	-0.020319999999999998	-0.010000000000000002	0.04	0.13333333333333333	-0.1	0.03333333333333334	0.0	-0.025	0.0	0.0	0.0	0.0	0.06666666666666667
6	1.0	0.14	1.0	0.03068	0.04	0.02	0.13333333333333333	0.1	0.05	0.0	0.025	0.0	0.3025	1.0	0.0	0.056666666666666664	-0.02012	-0.010000000000000002	0.02	0.13333333333333333	-0.1	0.03333333333333334	0.0	-0.025	0.0	0.0	0.0	0.0	0.056666666666666664	-0.02012	-0.010000000000000002	0.02	0.13333333333333333	-0.1	0.03333333333333334	0.0	-0.025	0.0	0.0	0.0	0.0	0.056666666666666664
20	1.0	0.14	1.0	0.03088	0.04	0.0	0.13333333333333333	0.1	0.05	0.0	0.025	0.0	0.3025	1.0	0.0	0.04	-0.019919999999999997	-0.010000000000000002	0.0	0.13333333333333333	-0.1	0.03333333333333334	0.0	-0.025	0.0	0.0	0.0	0.0	0.04	-0.019919999999999997	-0.010000000000000002	0.0	0.13333333333333333	-0.1	0.03333333333333334	0.0	-0.025	0.0	0.0	0.0	0.0	0.04
20	1.0	0.14	1.0	0.03088	0.04	0.0	0.13333333333333333	0.1	0.05	0.0	0.025	0.0	0.3025	1.0	0.0	0.016666666666666666	-0.019919999999999997	-0.010000000000000002	0.0	0.13333333333333333	-0.1	0.03333333333333334	0.0	-0.025	0.0	0.0	0.0	0.0	0.016666666666666666	-0.019919999999999997	-0.010000000000000002	0.0	0.13333333333333333	-0.1	0.03333333333333334	0.0	-0.025	0.0	0.0	0.0	0.0	0.016666666666666666
9	1.0	0.14	1.0	0.03088	0.04	0.0	0.13333333333333333	0.1	0.05	0.0	0.025	0.0	0.3025	1.0	0.0	0.0033333333333333335	-0.019919999999999997	-0.010000000000000002	0.0	0.13333333333333333	-0.1	0.03333333333333334	0.0	-0.025	0.0	0.0	0.0	0.0	0.0033333333333333335	-0.019919999999999997	-0.010000000000000002	0.0	0.13333333333333333	-0.1	0.03333333333333334	0.0	-0.025	0.0	0.0	0.0	0.0	0.0033333333333333335
9	1.0	0.14	1.0	0.0548	0.06	0.0	0.2	0.2	0.016666666666666666	0.0	0.05	0.0	0.3025	1.0	0.0	0.0033333333333333335	0.02392	0.03	0.0	0.2	0.1	-0.03333333333333334	0.0	0.025	0.0	0.0	0.0	0.0	0.0033333333333333335	0.02392	0.03	0.0	0.2	0.1	-0.03333333333333334	0.0	0.025	0.0	0.0	0.0	0.0	0.0033333333333333335
11	1.0	0.16	1.0	0.03092	0.04	0.03	0.13333333333333333	0.1	0.05	0.0	0.025	0.0	0.3025	1.0	0.0	0.013333333333333334	-0.023880000000000002	-0.010000000000000002	0.03	0.13333333333333333	-0.1	0.03333333333333334	0.0	-0.025	0.0	0.0	0.0	0.0	0.013333333333333334	-0.023880000000000002	-0.010000000000000002	0.03	0.13333333333333333	-0.1	0.03333333333333334	0.0	-0.025	0.0	0.0	0.0	0.0	0.013333333333333334
6	1.0	0.16	1.0	0.0554	0.06	0.04	0.2	0.2	0.03333333333333333	0.0	0.05	0.0	0.3025	1.0	0.0	0.04666666666666667	0.02448	0.03	0.04	0.2	0.1	-0.01666666666666667	0.0	0.025	0.0	0.0	0.0	0.0	0.04666666666666667	0.02448	0.03	0.04	0.2	0.1	-0.01666666666666667	0.0	0.025	0.0	0.0	0.0	0.0	0.04666666666666667
20	1.0	0.18	1.0	0.03892	0.04	0.01	0.16666666666666666	0.1	0.05	0.0	0.025	0.0	0.3025	1.0	0.0	0.043333333333333335	-0.018479999999999996	-0.019999999999999997	0.01	0.16666666666666666	-0.1	0.01666666666666667	0.0	-0.0375	0.0	0.0	0.0	0.0	0.043333333333333335	-0.018479999999999996	-0.019999999999999997	0.01	0.16666666666666666	-0.1	0.01666666666666667	0.0	-0.0375	0.0	0.0	0.0	0.0	0.043333333333333335
20	1.0	0.18	1.0	0.03892	0.04	0.01	0.16666666666666666	0.1	0.05	0.0	0.025	0.0	0.3025	1.0	0.0	0.016666666666666666	-0.018479999999999996	-0.019999999999999997	0.01	0.16666666666666666	-0.1	0.01666666666666667	0.0	-0.0375	0.0	0.0	0.0	0.0	0.016666666666666666	-0.018479999999999996	-0.019999999999999997	0.01	0.16666666666666666	-0.1	0.01666666666666667	0.0	-0.0375	0.0	0.0	0.0	0.0	0.016666666666666666
20	1.0	0.18	1.0	0.0654	0.08	0.0	0.23333333333333334	0.2	0.03333333333333333	0.0	0.0625	0.0	0.3025	1.0	0.0	0.043333333333333335	0.026479999999999997	0.05	0.0	0.23333333333333334	0.1	-0.01666666666666667	0.0	0.0375	0.0	0.0	0.0	0.0	0.043333333333333335	0.026479999999999997	0.05	0.0	0.23333333333333334	0.1	-0.01666666666666667	0.0	0.0375	0.0	0.0	0.0	0.0	0.043333333333333335
10	1.0	0.2	1.0	0.03892	0.04	0.05	0.16666666666666666	0.1	0.05	0.0	0.025	0.0	0.3025	1.0	0.0	0.07	-0.026479999999999997	-0.019999999999999997	0.05	0.16666666666666666	-0.1	0.01666666666666667	0.0	-0.0375	0.0	0.0	0.0	0.0	0.07	-0.026479999999999997	-0.019999999999999997	0.05	0.16666666666666666	-0.1	0.01666666666666667	0.0	-0.0375	0.0	0.0	0.0	0.0	0.07
20	1.0	0.2	1.0	0.04292	0.04	0.0	0.2	0.1	0.05	0.0	0.025	0.0	0.3025	1.0	0.0	0.05333333333333334	-0.02248	-0.019999999999999997	0.0	0.2	-0.1	0.01666666666666667	0.0	-0.0375	0.0	0.0	0.0	0.0	0.05333333333333334	-0.02248	-0.019999999999999997	0.0	0.2	-0.1	0.01666666666666667	0.0	-0.0375	0.0	0.0	0.0	0.0	0.05333333333333334
20	1.0	0.2	1.0	0.04292	0.04	0.0	0.2	0.1	0.05	0.0	0.025	0.0	0.3025	1.0	0.0	0.02666666666666667	-0.02248	-0.019999999999999997	0.0	0.2	-0.1	0.01666666666666667	0.0	-0.0375	0.0	0.0	0.0	0.0	0.02666666666666667	-0.02248	-0.019999999999999997	0.0	0.2	-0.1	0.01666666666666667	0.0	-0.0375	0.0	0.0	0.0	0.0	0.02666666666666667
9	1.0	0.2	1.0	0.04292	0.04	0.0	0.2	0.1	0.05	0.0	0.025	0.0	0.3025	1.0	0.0	0.0033333333333333335	-0.02248	-0.019999999999999997	0.0	0.2	-0.1	0.01666666666666667	0.0	-0.0375	0.0	0.0	0.0	0.0	0.0033333333333333335	-0.02248	-0.019999999999999997	0.0	0.2	-0.1	0.01666666666666667	0.0	-0.0375	0.0	0.0	0.0	0.0	0.0033333333333333335
20	1.0	0.2	1.0	0.078	0.09	0.0	0.23333333333333334	0.3	0.06666666666666667	0.0	0.075	0.0	0.3025	1.0	0.0	0.04	0.03508	0.06	0.0	0.23333333333333334	0.19999999999999998	0.016666666666666663	0.0	0.049999999999999996	0.0	0.0	0.0	0.0	0.04	0.03508	0.06	0.0	0.23333333333333334	0.19999999999999998	0.016666666666666663	0.0	0.049999999999999996	0.0	0.0	0.0	0.0	0.04
9	1.0	0.2	1.0	0.078	0.09	0.0	0.23333333333333334	0.3	0.06666666666666667	0.0	0.075	0.0	0.3025	1.0	0.0	0.0033333333333333335	0.03508	0.06	0.0	0.23333333333333334	0.19999999999999998	0.016666666666666663	0.0	0.049999999999999996	0.0	0.0	0.0	0.0	0.0033333333333333335	0.03508	0.06	0.0	0.23333333333333334	0.19999999999999998	0.016666666666666663	0.0	0.049999999999999996	0.0	0.0	0.0	0.0	0.0033333333333333335
20	1.0	0.22	1.0	0.04292	0.04	0.04	0.2	0.1	0.05	0.0	0.025	0.0	0.3025	1.0	0.0	0.03333333333333333	-0.03508	-0.030000000000000006	0.04	0.2	-0.19999999999999998	-0.016666666666666663	0.0	-0.049999999999999996	0.0	0.0	0.0	0.0	0.03333333333333333	-0.03508	-0.030000000000000006	0.04	0.2	-0.19999999999999998	-0.016666666666666663	0.0	-0.049999999999999996	0.0	0.0	0.0	0.0	0.03333333333333333
20	1.0	0.22	1.0	0.04292	0.04	0.04	0.2	0.1	0.05	0.0	0.025	0.0	0.3025	1.0	0.0	0.02666666666666667	-0.03508	-0.030000000000000006	0.04	0.2	-0.19999999999999998	-0.016666666666666663	0.0	-0.049999999999999996	0.0	0.0	0.0	0.0	0.02666666666666667	-0.03508	-0.030000000000000006	0.04	0.2	-0.19999999999999998	-0.016666666666666663	0.0	-0.049999999999999996	0.0	0.0	0.0	0.0	0.02666666666666667
5	1.0	0.22	1.0	0.0784	0.09	0.04	0.23333333333333334	0.3	0.06666666666666667	0.0	0.075	0.0	0.3025	1.0	0.0	0.006666666666666667	0.03548	0.06	0.04	0.23333333333333334	0.19999999999999998	0.016666666666666663	0.0	0.049999999999999996	0.0	0.0	0.0	0.0	0.006666666666666667	0.03548	0.06	0.04	0.23333333333333334	0.19999999999999998	0.016666666666666663	0.0	0.049999999999999996	0.0	0.0	0.0	0.0	0.006666666666666667
6	1.0	0.22	1.0	0.0802	0.1	0.04	0.23333333333333334	0.3	0.06666666666666667	0.0	0.0875	0.0	0.3025	1.0	0.0	0.13666666666666666	0.037279999999999994	0.07	0.04	0.23333333333333334	0.19999999999999998	0.016666666666666663	0.0	0.06249999999999999	0.0	0.0	0.0	0.0	0.13666666666666666	0.037279999999999994	0.07	0.04	0.23333333333333334	0.19999999999999998	0.016666666666666663	0.0	0.06249999999999999	0.0	0.0	0.0	0.0	0.13666666666666666
5	1.0	0.22	1.0	0.0806	0.1	0.0	0.23333333333333334	0.3	0.06666666666666667	0.0	0.0875	0.0	0.3025	1.0	0.0	0.006666666666666667	0.037680000000000005	0.07	0.0	0.23333333333333334	0.19999999999999998	0.016666666666666663	0.0	0.06249999999999999	0.0	0.0	0.0	0.0	0.006666666666666667	0.037680000000000005	0.07	0.0	0.23333333333333334	0.19999999999999998	0.016666666666666663	0.0	0.06249999999999999	0.0	0.0	0.0	0.0	0.006666666666666667
20	1.0	0.22	1.0	0.0822	0.12	0.0	0.23333333333333334	0.3	0.06666666666666667	0.0	0.1	0.0	0.3025	1.0	0.0	0.11666666666666667	0.039279999999999995	0.09	0.0	0.23333333333333334	0.19999999999999998	0.016666666666666663	0.0	0.07500000000000001	0.0	0.0	0.0	0.0	0.11666666666666667	0.039279999999999995	0.09	0.0	0.23333333333333334	0.19999999999999998	0.016666666666666663	0.0	0.07500000000000001	0.0	0.0	0.0	0.0	0.11666666666666667
6	1.0	0.24	1.0	0.05092	0.04	0.02	0.23333333333333334	0.1	0.05	0.0	0.025	0.0	0.3025	1.0	0.0	0.06333333333333334	-0.031279999999999995	-0.049999999999999996	0.02	0.23333333333333334	-0.19999999999999998	-0.016666666666666663	0.0	-0.07500000000000001	0.0	0.0	0.0	0.0	0.06333333333333334	-0.031279999999999995	-0.049999999999999996	0.02	0.23333333333333334	-0.19999999999999998	-0.016666666666666663	0.0	-0.07500000000000001	0.0	0.0	0.0	0.0	0.06333333333333334
10	1.0	0.24	1.0	0.06292	0.04	0.15	0.26666666666666666	0.1	0.05	0.0	0.025	0.0	0.3025	1.0	0.0	0.13	-0.01927999999999999	-0.049999999999999996	0.15	0.26666666666666666	-0.19999999999999998	-0.016666666666666663	0.0	-0.07500000000000001	0.0	0.0	0.0	0.0	0.13	-0.01927999999999999	-0.049999999999999996	0.15	0.26666666666666666	-0.19999999999999998	-0.016666666666666663	0.0	-0.07500000000000001	0.0	0.0	0.0	0.0	0.13
10	1.0	0.24	1.0	0.07092	0.04	0.09	0.3	0.1	0.05	0.0	0.025	0.0	0.3025	1.0	0.0	0.13	-0.011279999999999998	-0.049999999999999996	0.09	0.3	-0.19999999999999998	-0.016666666666666663	0.0	-0.07500000000000001	0.0	0.0	0.0	0.0	0.13	-0.011279999999999998	-0.049999999999999996	0.09	0.3	-0.19999999999999998	-0.016666666666666663	0.0	-0.07500000000000001	0.0	0.0	0.0	0.0	0.13
20	1.0	0.24	1.0	0.08292	0.04	0.02	0.3333333333333333	0.1	0.05	0.0	0.025	0.0	0.3025	1.0	0.0	0.06	7.199999999999984E-4	-0.049999999999999996	0.02	0.3333333333333333	-0.19999999999999998	-0.016666666666666663	0.0	-0.07500000000000001	0.0	0.0	0.0	0.0	0.06	7.199999999999984E-4	-0.049999999999999996	0.02	0.3333333333333333	-0.19999999999999998	-0.016666666666666663	0.0	-0.07500000000000001	0.0	0.0	0.0	0.0	0.06
5	1.0	0.24	1.0	0.08312	0.04	0.0	0.3333333333333333	0.1	0.05	0.0	0.025	0.0	0.3025	1.0	0.0	0.006666666666666667	9.200000000000041E-4	-0.049999999999999996	0.0	0.3333333333333333	-0.19999999999999998	-0.016666666666666663	0.0	-0.07500000000000001	0.0	0.0	0.0	0.0	0.006666666666666667	9.200000000000041E-4	-0.049999999999999996	0.0	0.3333333333333333	-0.19999999999999998	-0.016666666666666663	0.0	-0.07500000000000001	0.0	0.0	0.0	0.0	0.006666666666666667
9	1.0	0.24	1.0	0.08452	0.05	0.05	0.3333333333333333	0.1	0.05	0.0	0.0375	0.0	0.3025	1.0	0.0	0.04666666666666667	0.0023200000000000026	-0.039999999999999994	0.05	0.3333333333333333	-0.19999999999999998	-0.016666666666666663	0.0	-0.0625	0.0	0.0	0.0	0.0	0.04666666666666667	0.0023200000000000026	-0.039999999999999994	0.05	0.3333333333333333	-0.19999999999999998	-0.016666666666666663	0.0	-0.0625	0.0	0.0	0.0	0.0	0.04666666666666667
20	1.0	0.24	1.0	0.0902	0.12	0.02	0.26666666666666666	0.3	0.06666666666666667	0.0	0.1	0.0	0.3025	1.0	0.0	0.14666666666666667	0.0056800000000000045	0.07999999999999999	0.02	0.26666666666666666	0.19999999999999998	0.016666666666666663	0.0	0.0625	0.0	0.0	0.0	0.0	0.14666666666666667	0.0056800000000000045	0.07999999999999999	0.02	0.26666666666666666	0.19999999999999998	0.016666666666666663	0.0	0.0625	0.0	0.0	0.0	0.0	0.14666666666666667
